metric,indicator,demographic_category,demographic_value,date_type,date_value_start,date_value_end,value,unit,value_smoothed,description
Case,New Cases,Citywide,,Daily,2020-05-06,NA,212,count,197.57,NA
Case,New Cases,Citywide,,Daily,2020-05-07,NA,188,count,186.43,NA
Case,New Cases,Citywide,,Daily,2020-05-08,NA,132,count,171,NA
Case,New Cases,Citywide,,Daily,2020-05-09,NA,79,count,166.14,NA
Case,New Cases,Citywide,,Daily,2020-05-10,NA,32,count,151.86,NA
Case,New Cases,Citywide,,Daily,2020-05-11,NA,117,count,138.43,NA
Case,New Cases,Citywide,,Daily,2020-05-12,NA,151,count,130.14,NA
Case,New Cases,Citywide,,Daily,2020-05-13,NA,134,count,119,NA
Case,New Cases,Citywide,,Daily,2020-05-14,NA,105,count,107.14,NA
Case,New Cases,Citywide,,Daily,2020-05-15,NA,118,count,105.14,NA
Case,New Cases,Citywide,,Daily,2020-05-16,NA,62,count,102.71,NA
Case,New Cases,Citywide,,Daily,2020-05-17,NA,40,count,103.86,NA
Case,New Cases,Citywide,,Daily,2020-05-18,NA,98,count,101.14,NA
Case,New Cases,Citywide,,Daily,2020-05-19,NA,100,count,93.86,NA
Case,New Cases,Citywide,,Daily,2020-05-20,NA,89,count,87.43,NA
Case,New Cases,Citywide,,Daily,2020-05-21,NA,81,count,84,NA
Case,New Cases,Citywide,,Daily,2020-05-22,NA,79,count,78.43,NA
Case,New Cases,Citywide,,Daily,2020-05-23,NA,45,count,76,NA
Case,New Cases,Citywide,,Daily,2020-05-24,NA,20,count,73.14,NA
Case,New Cases,Citywide,,Daily,2020-05-25,NA,24,count,62.57,NA
Case,New Cases,Citywide,,Daily,2020-05-26,NA,76,count,59.14,NA
Case,New Cases,Citywide,,Daily,2020-05-27,NA,49,count,53.43,NA
Case,New Cases,Citywide,,Daily,2020-05-28,NA,61,count,50.57,NA
Case,New Cases,Citywide,,Daily,2020-05-29,NA,41,count,45.14,NA
Case,New Cases,Citywide,,Daily,2020-05-30,NA,30,count,43,NA
Case,New Cases,Citywide,,Daily,2020-05-31,NA,13,count,42,NA
Case,New Cases,Citywide,,Daily,2020-06-01,NA,46,count,45.14,NA
Case,New Cases,Citywide,,Daily,2020-06-02,NA,49,count,41.29,NA
Case,New Cases,Citywide,,Daily,2020-06-03,NA,26,count,38,NA
Case,New Cases,Citywide,,Daily,2020-06-04,NA,53,count,36.86,NA
Case,New Cases,Citywide,,Daily,2020-06-05,NA,24,count,34.43,NA
Case,New Cases,Citywide,,Daily,2020-06-06,NA,30,count,34.43,NA
Case,New Cases,Citywide,,Daily,2020-06-07,NA,12,count,34.29,NA
Case,New Cases,Citywide,,Daily,2020-06-08,NA,37,count,33,NA
Case,New Cases,Citywide,,Daily,2020-06-09,NA,37,count,31.29,NA
Case,New Cases,Citywide,,Daily,2020-06-10,NA,23,count,30.86,NA
Case,New Cases,Citywide,,Daily,2020-06-11,NA,27,count,27.14,NA
Case,New Cases,Citywide,,Daily,2020-06-12,NA,23,count,27,NA
Case,New Cases,Citywide,,Daily,2020-06-13,NA,13,count,24.57,NA
Case,New Cases,Citywide,,Daily,2020-06-14,NA,4,count,23.43,NA
Case,New Cases,Citywide,,Daily,2020-06-15,NA,23,count,21.43,NA
Case,New Cases,Citywide,,Daily,2020-06-16,NA,24,count,19.57,NA
Case,New Cases,Citywide,,Daily,2020-06-17,NA,32,count,20.86,NA
Case,New Cases,Citywide,,Daily,2020-06-18,NA,20,count,19.86,NA
Case,New Cases,Citywide,,Daily,2020-06-19,NA,17,count,19,NA
Case,New Cases,Citywide,,Daily,2020-06-20,NA,12,count,18.86,NA
Case,New Cases,Citywide,,Daily,2020-06-21,NA,4,count,18.86,NA
Case,New Cases,Citywide,,Daily,2020-06-22,NA,29,count,19.71,NA
Case,New Cases,Citywide,,Daily,2020-06-23,NA,25,count,19.86,NA
Case,New Cases,Citywide,,Daily,2020-06-24,NA,18,count,17.86,NA
Case,New Cases,Citywide,,Daily,2020-06-25,NA,26,count,18.71,NA
Case,New Cases,Citywide,,Daily,2020-06-26,NA,24,count,19.71,NA
Case,New Cases,Citywide,,Daily,2020-06-27,NA,15,count,20.14,NA
Case,New Cases,Citywide,,Daily,2020-06-28,NA,4,count,20.14,NA
Case,New Cases,Citywide,,Daily,2020-06-29,NA,21,count,19,NA
Case,New Cases,Citywide,,Daily,2020-06-30,NA,28,count,19.43,NA
Case,New Cases,Citywide,,Daily,2020-07-01,NA,33,count,21.57,NA
Case,New Cases,Citywide,,Daily,2020-07-02,NA,41,count,23.71,NA
Case,New Cases,Citywide,,Daily,2020-07-03,NA,10,count,21.71,NA
Case,New Cases,Citywide,,Daily,2020-07-04,NA,8,count,20.71,NA
Case,New Cases,Citywide,,Daily,2020-07-05,NA,16,count,22.43,NA
Case,New Cases,Citywide,,Daily,2020-07-06,NA,37,count,24.71,NA
Case,New Cases,Citywide,,Daily,2020-07-07,NA,39,count,26.29,NA
Case,New Cases,Citywide,,Daily,2020-07-08,NA,28,count,25.57,NA
Case,New Cases,Citywide,,Daily,2020-07-09,NA,27,count,23.57,NA
Case,New Cases,Citywide,,Daily,2020-07-10,NA,40,count,27.86,NA
Case,New Cases,Citywide,,Daily,2020-07-11,NA,9,count,28,NA
Case,New Cases,Citywide,,Daily,2020-07-12,NA,10,count,27.14,NA
Case,New Cases,Citywide,,Daily,2020-07-13,NA,43,count,28,NA
Case,New Cases,Citywide,,Daily,2020-07-14,NA,25,count,26,NA
Case,New Cases,Citywide,,Daily,2020-07-15,NA,37,count,27.29,NA
Case,New Cases,Citywide,,Daily,2020-07-16,NA,32,count,28,NA
Case,New Cases,Citywide,,Daily,2020-07-17,NA,32,count,26.86,NA
Case,New Cases,Citywide,,Daily,2020-07-18,NA,20,count,28.43,NA
Case,New Cases,Citywide,,Daily,2020-07-19,NA,7,count,28,NA
Case,New Cases,Citywide,,Daily,2020-07-20,NA,27,count,25.71,NA
Case,New Cases,Citywide,,Daily,2020-07-21,NA,32,count,26.71,NA
Case,New Cases,Citywide,,Daily,2020-07-22,NA,32,count,26,NA
Case,New Cases,Citywide,,Daily,2020-07-23,NA,29,count,25.57,NA
Case,New Cases,Citywide,,Daily,2020-07-24,NA,21,count,24,NA
Case,New Cases,Citywide,,Daily,2020-07-25,NA,20,count,24,NA
Case,New Cases,Citywide,,Daily,2020-07-26,NA,10,count,24.43,NA
Case,New Cases,Citywide,,Daily,2020-07-27,NA,41,count,26.43,NA
Case,New Cases,Citywide,,Daily,2020-07-28,NA,61,count,30.57,NA
Case,New Cases,Citywide,,Daily,2020-07-29,NA,55,count,33.86,NA
Case,New Cases,Citywide,,Daily,2020-07-30,NA,43,count,35.86,NA
Case,New Cases,Citywide,,Daily,2020-07-31,NA,45,count,39.29,NA
Case,New Cases,Citywide,,Daily,2020-08-01,NA,24,count,39.86,NA
Case,New Cases,Citywide,,Daily,2020-08-02,NA,11,count,40,NA
Case,New Cases,Citywide,,Daily,2020-08-03,NA,50,count,41.29,NA
Case,New Cases,Citywide,,Daily,2020-08-04,NA,38,count,38,NA
Case,New Cases,Citywide,,Daily,2020-08-05,NA,53,count,37.71,NA
Case,New Cases,Citywide,,Daily,2020-08-06,NA,65,count,40.86,NA
Case,New Cases,Citywide,,Daily,2020-08-07,NA,50,count,41.57,NA
Case,New Cases,Citywide,,Daily,2020-08-08,NA,27,count,42,NA
Case,New Cases,Citywide,,Daily,2020-08-09,NA,13,count,42.29,NA
Case,New Cases,Citywide,,Daily,2020-08-10,NA,70,count,45.14,NA
Case,New Cases,Citywide,,Daily,2020-08-11,NA,58,count,48,NA
Case,New Cases,Citywide,,Daily,2020-08-12,NA,60,count,49,NA
Case,New Cases,Citywide,,Daily,2020-08-13,NA,71,count,49.86,NA
Case,New Cases,Citywide,,Daily,2020-08-14,NA,56,count,50.71,NA
Case,New Cases,Citywide,,Daily,2020-08-15,NA,22,count,50,NA
Case,New Cases,Citywide,,Daily,2020-08-16,NA,16,count,50.43,NA
Case,New Cases,Citywide,,Daily,2020-08-17,NA,79,count,51.71,NA
Case,New Cases,Citywide,,Daily,2020-08-18,NA,66,count,52.86,NA
Case,New Cases,Citywide,,Daily,2020-08-19,NA,62,count,53.14,NA
Case,New Cases,Citywide,,Daily,2020-08-20,NA,56,count,51,NA
Case,New Cases,Citywide,,Daily,2020-08-21,NA,38,count,48.43,NA
Case,New Cases,Citywide,,Daily,2020-08-22,NA,24,count,48.71,NA
Case,New Cases,Citywide,,Daily,2020-08-23,NA,13,count,48.29,NA
Case,New Cases,Citywide,,Daily,2020-08-24,NA,69,count,46.86,NA
Case,New Cases,Citywide,,Daily,2020-08-25,NA,41,count,43.29,NA
Case,New Cases,Citywide,,Daily,2020-08-26,NA,70,count,44.43,NA
Case,New Cases,Citywide,,Daily,2020-08-27,NA,48,count,43.29,NA
Case,New Cases,Citywide,,Daily,2020-08-28,NA,61,count,46.57,NA
Case,New Cases,Citywide,,Daily,2020-08-29,NA,36,count,48.29,NA
Case,New Cases,Citywide,,Daily,2020-08-30,NA,20,count,49.29,NA
Case,New Cases,Citywide,,Daily,2020-08-31,NA,70,count,49.43,NA
Case,New Cases,Citywide,,Daily,2020-09-01,NA,60,count,52.14,NA
Case,New Cases,Citywide,,Daily,2020-09-02,NA,82,count,53.86,NA
Case,New Cases,Citywide,,Daily,2020-09-03,NA,69,count,56.86,NA
Case,New Cases,Citywide,,Daily,2020-09-04,NA,45,count,54.57,NA
Case,New Cases,Citywide,,Daily,2020-09-05,NA,29,count,53.57,NA
Case,New Cases,Citywide,,Daily,2020-09-06,NA,20,count,53.57,NA
Case,New Cases,Citywide,,Daily,2020-09-07,NA,25,count,47.14,NA
Case,New Cases,Citywide,,Daily,2020-09-08,NA,80,count,50,NA
Case,New Cases,Citywide,,Daily,2020-09-09,NA,118,count,55.14,NA
Case,New Cases,Citywide,,Daily,2020-09-10,NA,53,count,52.86,NA
Case,New Cases,Citywide,,Daily,2020-09-11,NA,60,count,55,NA
Case,New Cases,Citywide,,Daily,2020-09-12,NA,32,count,55.43,NA
Case,New Cases,Citywide,,Daily,2020-09-13,NA,12,count,54.29,NA
Case,New Cases,Citywide,,Daily,2020-09-14,NA,69,count,60.57,NA
Case,New Cases,Citywide,,Daily,2020-09-15,NA,62,count,58,NA
Case,New Cases,Citywide,,Daily,2020-09-16,NA,78,count,52.29,NA
Case,New Cases,Citywide,,Daily,2020-09-17,NA,53,count,52.29,NA
Case,New Cases,Citywide,,Daily,2020-09-18,NA,74,count,54.29,NA
Case,New Cases,Citywide,,Daily,2020-09-19,NA,28,count,53.71,NA
Case,New Cases,Citywide,,Daily,2020-09-20,NA,14,count,54,NA
Case,New Cases,Citywide,,Daily,2020-09-21,NA,56,count,52.14,NA
Case,New Cases,Citywide,,Daily,2020-09-22,NA,77,count,54.29,NA
Case,New Cases,Citywide,,Daily,2020-09-23,NA,106,count,58.29,NA
Case,New Cases,Citywide,,Daily,2020-09-24,NA,85,count,62.86,NA
Case,New Cases,Citywide,,Daily,2020-09-25,NA,72,count,62.57,NA
Case,New Cases,Citywide,,Daily,2020-09-26,NA,48,count,65.43,NA
Case,New Cases,Citywide,,Daily,2020-09-27,NA,29,count,67.57,NA
Case,New Cases,Citywide,,Daily,2020-09-28,NA,102,count,74.14,NA
Case,New Cases,Citywide,,Daily,2020-09-29,NA,98,count,77.14,NA
Case,New Cases,Citywide,,Daily,2020-09-30,NA,82,count,73.71,NA
Case,New Cases,Citywide,,Daily,2020-10-01,NA,94,count,75,NA
Case,New Cases,Citywide,,Daily,2020-10-02,NA,74,count,75.29,NA
Case,New Cases,Citywide,,Daily,2020-10-03,NA,47,count,75.14,NA
Case,New Cases,Citywide,,Daily,2020-10-04,NA,23,count,74.29,NA
Case,New Cases,Citywide,,Daily,2020-10-05,NA,106,count,74.86,NA
Case,New Cases,Citywide,,Daily,2020-10-06,NA,87,count,73.29,NA
Case,New Cases,Citywide,,Daily,2020-10-07,NA,96,count,75.29,NA
Case,New Cases,Citywide,,Daily,2020-10-08,NA,124,count,79.57,NA
Case,New Cases,Citywide,,Daily,2020-10-09,NA,82,count,80.71,NA
Case,New Cases,Citywide,,Daily,2020-10-10,NA,40,count,79.71,NA
Case,New Cases,Citywide,,Daily,2020-10-11,NA,26,count,80.14,NA
Case,New Cases,Citywide,,Daily,2020-10-12,NA,67,count,74.57,NA
Case,New Cases,Citywide,,Daily,2020-10-13,NA,107,count,77.43,NA
Case,New Cases,Citywide,,Daily,2020-10-14,NA,135,count,83,NA
Case,New Cases,Citywide,,Daily,2020-10-15,NA,122,count,82.71,NA
Case,New Cases,Citywide,,Daily,2020-10-16,NA,128,count,89.29,NA
Case,New Cases,Citywide,,Daily,2020-10-17,NA,83,count,95.43,NA
Case,New Cases,Citywide,,Daily,2020-10-18,NA,33,count,96.43,NA
Case,New Cases,Citywide,,Daily,2020-10-19,NA,162,count,110,NA
Case,New Cases,Citywide,,Daily,2020-10-20,NA,131,count,113.43,NA
Case,New Cases,Citywide,,Daily,2020-10-21,NA,172,count,118.71,NA
Case,New Cases,Citywide,,Daily,2020-10-22,NA,179,count,126.86,NA
Case,New Cases,Citywide,,Daily,2020-10-23,NA,129,count,127,NA
Case,New Cases,Citywide,,Daily,2020-10-24,NA,87,count,127.57,NA
Case,New Cases,Citywide,,Daily,2020-10-25,NA,35,count,127.86,NA
Case,New Cases,Citywide,,Daily,2020-10-26,NA,194,count,132.43,NA
Case,New Cases,Citywide,,Daily,2020-10-27,NA,150,count,135.14,NA
Case,New Cases,Citywide,,Daily,2020-10-28,NA,169,count,134.71,NA
Case,New Cases,Citywide,,Daily,2020-10-29,NA,154,count,131.14,NA
Case,New Cases,Citywide,,Daily,2020-10-30,NA,102,count,127.29,NA
Case,New Cases,Citywide,,Daily,2020-10-31,NA,79,count,126.14,NA
Case,New Cases,Citywide,,Daily,2020-11-01,NA,41,count,127,NA
Case,New Cases,Citywide,,Daily,2020-11-02,NA,205,count,128.57,NA
Case,New Cases,Citywide,,Daily,2020-11-03,NA,204,count,136.29,NA
Case,New Cases,Citywide,,Daily,2020-11-04,NA,266,count,150.14,NA
Case,New Cases,Citywide,,Daily,2020-11-05,NA,286,count,169,NA
Case,New Cases,Citywide,,Daily,2020-11-06,NA,223,count,186.29,NA
Case,New Cases,Citywide,,Daily,2020-11-07,NA,129,count,193.43,NA
Case,New Cases,Citywide,,Daily,2020-11-08,NA,79,count,198.86,NA
Case,New Cases,Citywide,,Daily,2020-11-09,NA,318,count,215,NA
Case,New Cases,Citywide,,Daily,2020-11-10,NA,297,count,228.29,NA
Case,New Cases,Citywide,,Daily,2020-11-11,NA,276,count,229.71,NA
Case,New Cases,Citywide,,Daily,2020-11-12,NA,321,count,234.71,NA
Case,New Cases,Citywide,,Daily,2020-11-13,NA,287,count,243.86,NA
Case,New Cases,Citywide,,Daily,2020-11-14,NA,160,count,248.29,NA
Case,New Cases,Citywide,,Daily,2020-11-15,NA,84,count,249,NA
Case,New Cases,Citywide,,Daily,2020-11-16,NA,329,count,250.57,NA
Case,New Cases,Citywide,,Daily,2020-11-17,NA,260,count,245.29,NA
Case,New Cases,Citywide,,Daily,2020-11-18,NA,304,count,249.29,NA
Case,New Cases,Citywide,,Daily,2020-11-19,NA,266,count,241.43,NA
Case,New Cases,Citywide,,Daily,2020-11-20,NA,248,count,235.86,NA
Case,New Cases,Citywide,,Daily,2020-11-21,NA,137,count,232.57,NA
Case,New Cases,Citywide,,Daily,2020-11-22,NA,89,count,233.29,NA
Case,New Cases,Citywide,,Daily,2020-11-23,NA,267,count,224.43,NA
Case,New Cases,Citywide,,Daily,2020-11-24,NA,338,count,235.57,NA
Case,New Cases,Citywide,,Daily,2020-11-25,NA,287,count,233.14,NA
Case,New Cases,Citywide,,Daily,2020-11-26,NA,37,count,200.43,NA
Case,New Cases,Citywide,,Daily,2020-11-27,NA,275,count,204.29,NA
Case,New Cases,Citywide,,Daily,2020-11-28,NA,269,count,223.14,NA
Case,New Cases,Citywide,,Daily,2020-11-29,NA,127,count,228.57,NA
Case,New Cases,Citywide,,Daily,2020-11-30,NA,510,count,263.29,NA
Case,New Cases,Citywide,,Daily,2020-12-01,NA,529,count,290.57,NA
Case,New Cases,Citywide,,Daily,2020-12-02,NA,565,count,330.29,NA
Case,New Cases,Citywide,,Daily,2020-12-03,NA,568,count,406.14,NA
Case,New Cases,Citywide,,Daily,2020-12-04,NA,460,count,432.57,NA
Case,New Cases,Citywide,,Daily,2020-12-05,NA,257,count,430.86,NA
Case,New Cases,Citywide,,Daily,2020-12-06,NA,158,count,435.29,NA
Case,New Cases,Citywide,,Daily,2020-12-07,NA,542,count,439.86,NA
Case,New Cases,Citywide,,Daily,2020-12-08,NA,536,count,440.86,NA
Case,New Cases,Citywide,,Daily,2020-12-09,NA,589,count,444.29,NA
Case,New Cases,Citywide,,Daily,2020-12-10,NA,475,count,431,NA
Case,New Cases,Citywide,,Daily,2020-12-11,NA,474,count,433,NA
Case,New Cases,Citywide,,Daily,2020-12-12,NA,279,count,436.14,NA
Case,New Cases,Citywide,,Daily,2020-12-13,NA,206,count,443,NA
Case,New Cases,Citywide,,Daily,2020-12-14,NA,554,count,444.71,NA
Case,New Cases,Citywide,,Daily,2020-12-15,NA,545,count,446,NA
Case,New Cases,Citywide,,Daily,2020-12-16,NA,532,count,437.86,NA
Case,New Cases,Citywide,,Daily,2020-12-17,NA,128,count,388.29,NA
Case,New Cases,Citywide,,Daily,2020-12-18,NA,542,count,398,NA
Case,New Cases,Citywide,,Daily,2020-12-19,NA,304,count,401.57,NA
Case,New Cases,Citywide,,Daily,2020-12-20,NA,219,count,403.43,NA
Case,New Cases,Citywide,,Daily,2020-12-21,NA,582,count,407.43,NA
Case,New Cases,Citywide,,Daily,2020-12-22,NA,557,count,409.14,NA
Case,New Cases,Citywide,,Daily,2020-12-23,NA,468,count,400,NA
Case,New Cases,Citywide,,Daily,2020-12-24,NA,343,count,430.71,NA
Case,New Cases,Citywide,,Daily,2020-12-25,NA,47,count,360,NA
Case,New Cases,Citywide,,Daily,2020-12-26,NA,360,count,368,NA
Case,New Cases,Citywide,,Daily,2020-12-27,NA,244,count,371.57,NA
Case,New Cases,Citywide,,Daily,2020-12-28,NA,739,count,394,NA
Case,New Cases,Citywide,,Daily,2020-12-29,NA,593,count,399.14,NA
Case,New Cases,Citywide,,Daily,2020-12-30,NA,540,count,409.43,NA
Case,New Cases,Citywide,,Daily,2020-12-31,NA,428,count,421.57,NA
Case,New Cases,Citywide,,Daily,2021-01-01,NA,109,count,430.43,NA
Case,New Cases,Citywide,,Daily,2021-01-02,NA,404,count,436.71,NA
Case,New Cases,Citywide,,Daily,2021-01-03,NA,261,count,439.14,NA
Case,New Cases,Citywide,,Daily,2021-01-04,NA,852,count,455.29,NA
Case,New Cases,Citywide,,Daily,2021-01-05,NA,774,count,481.14,NA
Case,New Cases,Citywide,,Daily,2021-01-06,NA,746,count,510.57,NA
Case,New Cases,Citywide,,Daily,2021-01-07,NA,610,count,536.57,NA
Case,New Cases,Citywide,,Daily,2021-01-08,NA,493,count,591.43,NA
Case,New Cases,Citywide,,Daily,2021-01-09,NA,277,count,573.29,NA
Case,New Cases,Citywide,,Daily,2021-01-10,NA,235,count,569.57,NA
Case,New Cases,Citywide,,Daily,2021-01-11,NA,583,count,531.14,NA
Case,New Cases,Citywide,,Daily,2021-01-12,NA,542,count,498,NA
Case,New Cases,Citywide,,Daily,2021-01-13,NA,509,count,464.14,NA
Case,New Cases,Citywide,,Daily,2021-01-14,NA,444,count,440.43,NA
Case,New Cases,Citywide,,Daily,2021-01-15,NA,386,count,425.14,NA
Case,New Cases,Citywide,,Daily,2021-01-16,NA,261,count,422.86,NA
Case,New Cases,Citywide,,Daily,2021-01-17,NA,174,count,414.14,NA
Case,New Cases,Citywide,,Daily,2021-01-18,NA,308,count,374.86,NA
Case,New Cases,Citywide,,Daily,2021-01-19,NA,514,count,370.86,NA
Case,New Cases,Citywide,,Daily,2021-01-20,NA,498,count,369.29,NA
Case,New Cases,Citywide,,Daily,2021-01-21,NA,465,count,372.29,NA
Case,New Cases,Citywide,,Daily,2021-01-22,NA,399,count,374.14,NA
